conditions,remedies
Allergy,"Triphala, Turmeric, Neem"
GERD,"Ashwagandha, Amalaki, Licorice Root"
Chronic cholestasis,"Kalmegh, Kutki, Dandelion Root"
Drug Reaction,"Triphala, Guduchi, Ashwagandha"
Peptic ulcer disease,"Amla, Licorice Root, Aloe Vera"
AIDS,"Guduchi, Ashwagandha, Triphala"
Diabetes,"Jamun, Bitter Melon, Fenugreek"
Gastroenteritis,"Amla, Ginger, Fennel Seeds"
Bronchial Asthma,"Triphala, Turmeric, Shankhpushpi"
Hypertension,"Arjuna, Ashwagandha, Brahmi"
Migraine,"Brahmi, Ashwagandha, Peppermint"
Cervical spondylosis,"Turmeric, Ashwagandha, Shilajit"
Paralysis (brain hemorrhage),"Brahmi, Ashwagandha, Shankhpushpi"
Jaundice,"Turmeric, Kutki, Dandelion Root"
Malaria,"Ashwagandha, Neem, Turmeric"
Chicken pox,"Neem, Amla, Turmeric"
Dengue,"Turmeric, Papaya Leaf Extract, Guduchi"
Typhoid,"Amla, Turmeric, Ginger"
Hepatitis A,"Turmeric, Kalmegh, Guduchi"
Hepatitis B,"Kalmegh, Amla, Turmeric"
Hepatitis C,"Kalmegh, Guduchi, Turmeric"
Hepatitis D,"Kalmegh, Guduchi, Amla"
Hepatitis E,"Kalmegh, Amla, Guduchi"
Alcoholic hepatitis,"Kalmegh, Guduchi, Turmeric"
Tuberculosis,"Guduchi, Ashwagandha, Amla"
Common Cold,"Triphala, Ginger, Tulsi"
Pneumonia,"Turmeric, Ginger, Tulsi"
Dimorphic hemorrhoids (piles),"Triphala, Psyllium Husk, Amla"
Heart attack,"Arjuna, Ashwagandha, Turmeric"
Varicose veins,"Arjuna, Gotu Kola, Horse Chestnut"
Hypothyroidism,"Triphala, Ashwagandha, Kachnar"
Hyperthyroidism,"Brahmi, Ashwagandha, Turmeric"
Hypoglycemia,"Ashwagandha, Fenugreek, Bitter Melon"
Osteoarthritis,"Turmeric, Ashwagandha, Guggulu"
Arthritis,"Turmeric, Ashwagandha, Boswellia"
(vertigo) Paroxysmal Positional Vertigo,"Brahmi, Ashwagandha, Ginger"
Acne,"Neem, Turmeric, Aloe Vera"
Urinary tract infection,"Triphala, Cranberry Extract, Guduchi"
Psoriasis,"Neem, Turmeric, Aloe Vera"
Impetigo,"Neem, Turmeric, Aloe Vera"
Fungal infection,"Neem, Turmeric, Garlic"
